16 81 307 ; 33 100 491 ; 49 0 365 ; 44 21 303 ; 38 11 28 ; 
106 13 318 ; 7 8 188 ; 29 33 119 ; 20 49 67 ; 29 104 135 ; 
110 23 10 ; 83 23 19 ; 83 68 440 ; 104 115 442 ; 116 56 390 ; 
1 94 136 ; 9 94 279 ; 43 65 102 ; 92 17 472 ; 68 104 4 ; 
92 111 233 ; 115 6 404 ; 55 62 471 ; 42 40 66 ; 98 63 347 ; 
64 123 47 ; 31 34 448 ; 96 81 129 ; 113 29 156 ; 90 125 429 ; 
73 123 125 ; 79 103 53 ; 13 38 56 ; 54 56 499 ; 117 51 186 ; 
112 34 348 ; 19 18 305 ; 100 12 96 ; 1 48 340 ; 126 49 254 ; 
121 119 176 ; 96 24 413 ; 6 45 188 ; 63 120 89 ; 114 110 411 ; 
21 71 44 ; 39 96 125 ; 51 24 284 ; 100 48 328 ; 21 58 377 ; 
12 30 287 ; 37 75 145 ; 82 71 205 ; 74 81 440 ; 57 16 267 ; 
0 69 33 ; 96 106 286 ; 120 34 474 ; 40 62 77 ; 99 91 105 ; 
1 118 135 ; 77 11 495 ; 20 1 240 ; 101 125 278 ; 118 56 109 ; 
59 101 418 ; 37 40 258 ; 71 18 434 ; 5 47 394 ; 96 49 330 ; 
86 72 349 ; 98 107 275 ; 99 52 224 ; 96 78 384 ; 24 51 198 ; 
125 81 428 ; 37 111 267 ; 55 109 192 ; 103 99 191 ; 24 2 388 ; 
96 3 216 ; 75 6 110 ; 127 86 216 ; 78 59 443 ; 1 5 379 ; 
83 69 347 ; 66 64 29 ; 48 96 210 ; 19 71 218 ; 21 51 481 ; 
25 127 253 ; 31 33 373 ; 118 38 132 ; 49 13 476 ; 54 85 182 ; 
123 52 359 ; 59 17 278 ; 27 20 49 ; 98 78 105 ; 21 111 44 ; 
20 40 50 ; 53 65 267 ; 91 37 26 ; 105 9 200 ; 62 59 25 ; 
114 111 199 ; 4 117 2 ; 24 62 201 ; 102 55 192 ; 85 68 314 ; 
125 102 159 ; 62 33 91 ; 99 123 425 ; 109 76 24 ; 40 77 333 ; 
23 5 287 ; 13 55 30 ; 75 37 442 ; 3 45 234 ; 71 24 476 ; 
45 23 149 ; 78 43 6 ; 73 116 124 ; 21 24 283 ; 99 38 312 ; 
104 113 41 ; 31 47 180 ; 68 113 9 ; 114 75 77 ; 10 11 192 ; 
33 32 47 ; 76 50 44 ; 64 2 302 ; 89 54 199 ; 127 86 437 ; 
112 31 188 ; 32 0 356 ; 17 109 91 ; 93 38 300 ; 104 98 174 ; 
9 101 28 ; 59 21 373 ; 62 19 154 ; 116 91 294 ; 74 56 467 ; 
106 120 210 ; 106 32 163 ; 87 103 151 ; 126 115 172 ; 96 113 257 ; 
70 121 86 ; 91 35 455 ; 111 25 74 ; 74 79 68 ; 2 95 220 ; 
122 109 47 ; 26 108 89 ; 1 11 231 ; 117 60 278 ; 102 73 216 ; 
96 63 181 ; 3 62 423 ; 28 121 338 ; 107 113 229 ; 74 94 295 ; 
56 21 177 ; 36 54 211 ; 48 65 105 ; 108 35 303 ; 53 4 456 ; 
117 69 238 ; 51 76 178 ; 44 46 1 ; 30 0 65 ; 124 27 165 ; 
17 57 415 ; 71 80 83 ; 8 2 128 ; 43 53 256 ; 47 93 288 ; 
116 107 481 ; 64 90 478 ; 111 75 382 ; 111 89 118 ; 10 82 256 ; 
67 21 368 ; 20 17 353 ; 22 49 152 ; 75 1 144 ; 40 61 312 ; 
19 46 371 ; 109 21 356 ; 57 47 336 ; 18 117 207 ; 100 90 346 ; 
121 58 49 ; 10 44 492 ; 59 100 92 ; 60 37 102 ; 121 17 29 ; 
40 44 477 ; 61 60 241 ; 108 13 294 ; 97 76 195 ; 59 123 157 ; 
118 52 197 ; 34 48 83 ; 6 65 45 ; 43 103 65 ; 60 89 101 ; 
105 114 239 ; 37 31 311 ; 50 58 0 ; 127 13 484 ; 122 115 85 ; 
46 60 209 ; 94 127 427 ; 31 77 93 ; 7 86 359 ; 96 27 223 ; 
82 90 143 ; 114 65 48 ; 44 101 90 ; 57 117 308 ; 44 103 411 ; 
105 20 97 ; 104 55 63 ; 53 124 154 ; 11 71 313 ; 39 62 292 ; 
1 114 324 ; 67 14 183 ; 40 80 165 ; 30 69 65 ; 5 56 78 ; 
25 38 363 ; 80 65 320 ; 76 59 180 ; 19 85 490 ; 82 117 17 ; 
68 118 364 ; 82 73 270 ; 35 14 397 ; 104 127 97 ; 32 41 3 ; 
70 0 404 ; 8 64 157 ; 67 105 41 ; 24 71 1 ; 14 48 45 ; 
4 65 99 ; 77 83 307 ; 91 40 217 ; 90 37 68 ; 3 65 372 ; 
4 97 41 ; 68 27 319 ; 45 36 123 ; 116 122 107 ; 37 99 287 ; 
102 30 105 ; 57 29 237 ; 97 110 218 ; 6 99 213 ; 71 63 491 ; 
41 60 131 ; 68 0 347 ; 104 75 459 ; 98 90 353 ; 69 2 313 ; 
99 55 266 ; 0 113 372 ; 111 119 105 ; 82 89 214 ; 17 20 149 ; 
78 83 60 ; 78 22 57 ; 25 30 93 ; 116 83 414 ; 118 124 168 ; 
45 75 254 ; 30 127 473 ; 22 109 282 ; 111 59 397 ; 3 16 91 ; 
87 45 236 ; 109 114 226 ; 11 124 28 ; 94 110 470 ; 91 66 158 ; 
38 92 232 ; 37 90 297 ; 18 88 444 ; 78 69 390 ; 94 4 201 ; 
11 84 220 ; 126 115 431 ; 122 95 33 ; 104 101 484 ; 42 95 491 ; 
7 79 366 ; 97 109 376 ; 57 41 97 ; 126 123 432 ; 2 60 150 ; 
86 0 48 ; 73 28 40 ; 41 37 330 ; 14 57 216 ; 110 44 112 ; 
61 122 38 ; 42 110 249 ; 83 8 218 ; 78 52 431 ; 10 46 433 ; 
11 6 167 ; 39 106 222 ; 76 76 471 ; 5 40 148 ; 50 108 223 ; 
44 91 205 ; 27 80 474 ; 35 39 181 ; 87 54 120 ; 5 68 331 ; 
11 83 13 ; 118 57 92 ; 66 105 351 ; 107 65 471 ; 87 40 493 ; 
50 125 203 ; 3 16 319 ; 42 77 70 ; 96 93 201 ; 36 60 348 ; 
120 38 309 ; 49 26 337 ; 26 54 119 ; 92 29 337 ; 4 10 60 ; 
2 41 252 ; 18 117 98 ; 95 91 53 ; 60 101 335 ; 121 69 24 ; 
31 43 256 ; 57 28 200 ; 111 3 78 ; 13 44 212 ; 23 65 252 ; 
65 45 125 ; 54 75 331 ; 17 109 401 ; 118 56 16 ; 60 100 296 ; 
103 53 73 ; 3 125 64 ; 6 119 362 ; 50 12 317 ; 115 124 254 ; 
32 113 166 ; 108 104 107 ; 89 113 397 ; 17 89 254 ; 118 126 85 ; 
43 27 237 ; 40 88 168 ; 32 78 419 ; 44 51 109 ; 40 38 223 ; 
26 48 175 ; 2 123 67 ; 116 124 499 ; 77 14 376 ; 75 23 34 ; 
103 92 496 ; 63 8 223 ; 13 55 63 ; 64 108 151 ; 102 84 495 ; 
22 47 52 ; 17 42 446 ; 13 18 8 ; 28 82 344 ; 51 36 118 ; 
16 108 477 ; 24 95 496 ; 80 123 443 ; 60 54 180 ; 16 30 377 ; 
63 46 287 ; 106 88 282 ; 124 4 319 ; 78 37 93 ; 115 19 61 ; 
95 76 160 ; 63 109 128 ; 58 76 133 ; 112 57 445 ; 14 102 173 ; 
60 121 394 ; 20 35 281 ; 25 95 107 ; 62 40 19 ; 81 13 98 ; 
29 37 377 ; 10 78 352 ; 87 15 247 ; 16 32 329 ; 118 109 250 ; 
111 75 152 ; 19 105 293 ; 114 112 265 ; 26 116 282 ; 39 70 336 ; 
76 11 249 ; 26 47 147 ; 41 19 377 ; 73 48 384 ; 55 62 348 ; 
2 91 498 ; 107 52 270 ; 92 33 149 ; 80 40 455 ; 22 108 133 ; 
33 2 244 ; 80 53 448 ; 99 114 79 ; 20 7 64 ; 82 43 54 ; 
45 70 221 ; 97 80 459 ; 3 109 51 ; 43 124 307 ; 23 37 395 ; 
25 117 117 ; 78 17 350 ; 65 72 446 ; 72 41 154 ; 115 83 358 ; 
57 52 252 ; 9 23 46 ; 118 102 179 ; 114 17 418 ; 23 12 397 ; 
12 29 305 ; 30 79 390 ; 102 82 301 ; 15 56 266 ; 98 50 22 ; 
22 126 417 ; 46 120 451 ; 20 84 392 ; 38 50 95 ; 50 60 365 ; 
80 93 485 ; 31 23 49 ; 113 32 359 ; 41 106 290 ; 91 124 461 ; 
90 2 428 ; 82 65 262 ; 38 9 424 ; 89 72 169 ; 21 122 451 ; 
114 67 369 ; 9 24 41 ; 42 12 169 ; 20 102 346 ; 17 79 432 ; 
