66 33 83 ; 230 2 187 ; 138 118 67 ; 39 196 145 ; 251 55 20 ; 
74 68 189 ; 106 44 214 ; 224 43 308 ; 163 56 486 ; 8 231 246 ; 
41 118 121 ; 44 97 300 ; 162 40 170 ; 102 117 452 ; 157 209 399 ; 
225 50 222 ; 13 241 404 ; 56 205 362 ; 112 152 435 ; 87 94 342 ; 
205 88 70 ; 46 148 80 ; 86 182 336 ; 204 98 294 ; 157 53 232 ; 
208 3 157 ; 193 27 490 ; 142 157 407 ; 38 0 164 ; 133 6 8 ; 
221 21 64 ; 113 77 209 ; 39 177 484 ; 137 183 158 ; 190 35 174 ; 
193 44 108 ; 220 22 296 ; 121 13 9 ; 122 61 351 ; 128 222 14 ; 
149 214 95 ; 226 155 364 ; 147 143 325 ; 74 218 0 ; 109 240 193 ; 
153 164 451 ; 175 40 348 ; 189 109 140 ; 250 65 189 ; 216 59 431 ; 
174 186 412 ; 74 22 349 ; 217 227 176 ; 179 215 375 ; 164 84 298 ; 
72 143 175 ; 113 139 313 ; 222 99 404 ; 31 180 357 ; 90 128 484 ; 
20 204 348 ; 42 173 311 ; 13 113 285 ; 228 201 106 ; 56 107 82 ; 
199 122 90 ; 82 35 386 ; 181 124 471 ; 106 145 2 ; 234 161 181 ; 
182 138 376 ; 99 33 180 ; 213 2 311 ; 158 188 240 ; 9 42 25 ; 
131 60 5 ; 167 151 133 ; 35 98 459 ; 180 12 421 ; 86 214 411 ; 
224 250 9 ; 1 50 479 ; 3 149 22 ; 191 6 315 ; 234 91 85 ; 
38 232 130 ; 189 61 330 ; 32 229 145 ; 44 66 332 ; 2 9 452 ; 
252 186 138 ; 47 33 90 ; 196 235 119 ; 202 139 362 ; 37 200 74 ; 
14 15 40 ; 75 217 498 ; 48 74 188 ; 114 222 432 ; 123 38 28 ; 
53 197 215 ; 86 67 15 ; 66 195 314 ; 205 69 71 ; 149 135 377 ; 
164 179 111 ; 125 6 277 ; 199 22 360 ; 165 70 321 ; 204 162 431 ; 
145 1 455 ; 212 93 48 ; 151 231 395 ; 221 54 165 ; 100 80 230 ; 
24 143 175 ; 30 220 132 ; 52 116 429 ; 122 61 65 ; 28 121 222 ; 
30 48 354 ; 123 28 451 ; 98 95 104 ; 153 228 283 ; 233 54 352 ; 
120 30 385 ; 84 170 273 ; 200 179 15 ; 6 132 151 ; 127 251 261 ; 
175 61 225 ; 203 17 111 ; 43 185 286 ; 15 248 417 ; 70 21 370 ; 
100 150 79 ; 14 47 451 ; 193 230 115 ; 70 209 283 ; 65 54 425 ; 
126 183 324 ; 143 87 287 ; 72 113 363 ; 65 238 298 ; 86 4 405 ; 
236 3 267 ; 27 122 263 ; 1 69 321 ; 210 217 223 ; 8 114 237 ; 
191 139 86 ; 22 82 124 ; 136 229 156 ; 118 163 432 ; 123 113 237 ; 
126 132 127 ; 249 252 135 ; 62 129 386 ; 23 200 99 ; 138 85 425 ; 
21 35 273 ; 103 112 221 ; 77 76 231 ; 240 112 91 ; 97 214 70 ; 
230 145 37 ; 226 57 423 ; 99 251 180 ; 44 191 127 ; 129 84 46 ; 
165 242 364 ; 21 79 257 ; 97 194 217 ; 209 190 106 ; 167 48 370 ; 
57 29 472 ; 114 136 474 ; 109 237 344 ; 44 144 51 ; 129 74 375 ; 
115 143 349 ; 194 232 114 ; 132 169 295 ; 66 183 400 ; 114 182 157 ; 
143 22 361 ; 24 92 286 ; 5 132 420 ; 149 15 149 ; 223 199 426 ; 
110 0 175 ; 87 222 22 ; 0 209 40 ; 184 37 460 ; 110 74 79 ; 
132 23 465 ; 224 29 9 ; 100 149 133 ; 115 123 370 ; 58 141 199 ; 
58 32 166 ; 24 38 489 ; 233 238 276 ; 14 58 244 ; 89 201 352 ; 
112 203 470 ; 142 92 70 ; 35 5 330 ; 158 179 242 ; 43 246 358 ; 
75 24 256 ; 113 169 435 ; 95 145 63 ; 154 122 85 ; 99 26 251 ; 
46 41 72 ; 138 187 409 ; 143 46 399 ; 66 4 314 ; 56 78 305 ; 
81 211 0 ; 250 146 224 ; 140 105 201 ; 6 42 473 ; 32 250 351 ; 
73 34 414 ; 5 187 129 ; 51 226 3 ; 55 45 23 ; 134 22 205 ; 
89 42 102 ; 235 138 379 ; 84 92 377 ; 127 141 21 ; 121 88 111 ; 
155 134 444 ; 87 227 193 ; 57 203 282 ; 102 66 189 ; 124 251 9 ; 
167 237 99 ; 49 48 420 ; 141 110 55 ; 26 55 419 ; 114 7 450 ; 
249 247 399 ; 220 48 339 ; 167 111 178 ; 233 224 19 ; 229 137 326 ; 
210 184 254 ; 3 64 305 ; 113 179 407 ; 168 123 56 ; 175 193 135 ; 
166 129 289 ; 215 220 138 ; 70 142 459 ; 38 121 458 ; 176 203 456 ; 
104 154 361 ; 169 15 423 ; 92 182 226 ; 215 235 443 ; 153 58 152 ; 
26 251 259 ; 246 182 266 ; 132 77 13 ; 253 139 283 ; 201 179 321 ; 
99 192 433 ; 114 160 70 ; 41 130 3 ; 20 214 287 ; 78 210 343 ; 
73 125 472 ; 255 207 222 ; 76 248 284 ; 216 103 188 ; 139 253 305 ; 
76 66 314 ; 236 240 117 ; 110 71 224 ; 68 251 393 ; 22 134 477 ; 
148 170 167 ; 99 232 400 ; 92 28 20 ; 195 212 132 ; 192 137 48 ; 
3 8 428 ; 243 233 280 ; 59 61 84 ; 54 186 362 ; 188 75 263 ; 
102 42 85 ; 78 83 293 ; 106 123 301 ; 62 239 121 ; 199 60 240 ; 
207 20 129 ; 185 56 220 ; 246 72 139 ; 177 198 186 ; 252 137 204 ; 
39 99 184 ; 122 208 450 ; 245 161 224 ; 228 206 494 ; 32 191 96 ; 
52 112 188 ; 108 36 287 ; 180 203 12 ; 123 174 87 ; 4 198 108 ; 
103 155 200 ; 56 213 383 ; 217 94 261 ; 168 80 2 ; 103 129 91 ; 
215 121 75 ; 251 64 88 ; 198 193 204 ; 116 56 65 ; 59 96 32 ; 
214 132 220 ; 171 208 216 ; 9 149 164 ; 90 80 217 ; 219 239 145 ; 
84 174 392 ; 148 162 383 ; 85 3 394 ; 141 24 361 ; 237 168 25 ; 
114 60 240 ; 66 56 42 ; 215 108 382 ; 39 122 187 ; 22 47 101 ; 
197 76 220 ; 103 63 288 ; 106 46 389 ; 130 227 238 ; 42 12 276 ; 
103 113 257 ; 159 171 235 ; 12 145 93 ; 134 129 445 ; 181 202 440 ; 
1 239 227 ; 65 103 176 ; 111 116 431 ; 82 215 346 ; 94 199 336 ; 
207 164 287 ; 123 244 270 ; 12 133 353 ; 141 238 349 ; 88 127 179 ; 
71 38 489 ; 174 146 22 ; 35 101 163 ; 250 163 158 ; 193 100 220 ; 
101 79 375 ; 89 161 362 ; 223 146 77 ; 205 144 402 ; 76 19 375 ; 
114 76 99 ; 4 135 294 ; 106 2 101 ; 13 237 408 ; 113 41 454 ; 
192 196 367 ; 97 47 404 ; 244 20 154 ; 132 6 61 ; 151 134 218 ; 
228 93 271 ; 107 124 445 ; 109 73 418 ; 90 57 472 ; 132 35 101 ; 
72 206 347 ; 119 222 347 ; 140 72 21 ; 146 145 425 ; 24 168 409 ; 
118 11 300 ; 242 224 292 ; 59 186 55 ; 116 254 105 ; 151 80 451 ; 
101 19 19 ; 67 150 480 ; 140 123 47 ; 29 84 151 ; 197 177 194 ; 
208 166 254 ; 177 126 80 ; 107 194 318 ; 106 115 421 ; 186 126 297 ; 
205 14 252 ; 99 230 449 ; 223 53 349 ; 51 17 253 ; 229 127 426 ; 
139 5 236 ; 9 2 8 ; 203 240 337 ; 62 26 493 ; 189 183 299 ; 
203 236 5 ; 177 133 162 ; 230 98 117 ; 247 203 244 ; 118 82 116 ; 
124 158 493 ; 126 186 28 ; 110 136 365 ; 136 193 357 ; 64 100 311 ; 
44 193 32 ; 177 235 187 ; 20 120 460 ; 223 229 399 ; 49 133 6 ; 
207 10 329 ; 138 26 269 ; 18 51 407 ; 211 24 265 ; 55 60 118 ; 
248 28 410 ; 227 200 98 ; 91 36 131 ; 64 103 359 ; 197 162 91 ; 
207 83 400 ; 233 128 24 ; 29 43 322 ; 53 68 132 ; 113 230 447 ; 
142 200 270 ; 86 214 254 ; 122 150 61 ; 226 105 364 ; 132 28 57 ; 
215 1 254 ; 87 181 302 ; 130 243 431 ; 198 67 156 ; 173 102 186 ; 
117 192 331 ; 76 18 329 ; 226 71 219 ; 75 215 110 ; 104 168 104 ; 
105 63 60 ; 30 165 455 ; 17 244 262 ; 84 97 36 ; 186 3 394 ; 
122 22 307 ; 140 184 185 ; 211 175 273 ; 170 33 407 ; 83 117 94 ; 
146 77 278 ; 55 252 211 ; 43 2 417 ; 140 138 218 ; 143 217 246 ; 
166 212 300 ; 94 69 2 ; 13 2 254 ; 47 161 321 ; 164 140 68 ; 
242 222 199 ; 238 154 173 ; 241 115 292 ; 123 94 135 ; 84 156 212 ; 
41 149 59 ; 110 7 157 ; 113 6 187 ; 18 215 73 ; 158 83 220 ; 
125 34 436 ; 23 131 430 ; 138 27 9 ; 232 223 138 ; 133 47 1 ; 
26 14 346 ; 33 148 183 ; 39 119 197 ; 255 104 14 ; 82 136 189 ; 
117 77 19 ; 248 3 136 ; 20 168 251 ; 243 62 486 ; 34 80 354 ; 
48 182 159 ; 196 69 349 ; 60 66 279 ; 164 177 202 ; 45 50 293 ; 
122 81 120 ; 125 238 381 ; 38 161 453 ; 100 223 277 ; 180 6 192 ; 
106 177 58 ; 175 119 435 ; 242 94 183 ; 163 108 139 ; 213 122 228 ; 
38 218 169 ; 20 175 399 ; 182 124 348 ; 149 94 378 ; 155 50 479 ; 
77 41 299 ; 196 80 390 ; 34 59 433 ; 142 99 479 ; 8 47 42 ; 
226 40 311 ; 145 155 158 ; 14 139 422 ; 108 162 4 ; 158 29 94 ; 
199 76 193 ; 23 230 314 ; 83 48 158 ; 182 107 356 ; 229 74 259 ; 
13 253 363 ; 168 215 142 ; 51 198 123 ; 213 106 465 ; 242 164 445 ; 
63 122 460 ; 37 156 215 ; 85 131 147 ; 193 139 142 ; 11 34 340 ; 
8 194 117 ; 224 68 494 ; 166 87 222 ; 16 121 149 ; 181 6 7 ; 
47 50 273 ; 203 38 452 ; 78 49 434 ; 218 143 3 ; 252 163 140 ; 
190 156 91 ; 2 162 464 ; 90 80 268 ; 211 49 426 ; 217 232 146 ; 
12 146 319 ; 50 122 342 ; 99 136 178 ; 242 236 188 ; 149 16 230 ; 
