291 181 455 ; 877 134 389 ; 651 61 150 ; 817 935 287 ; 873 959 190 ; 
277 943 413 ; 213 617 195 ; 725 707 150 ; 627 36 433 ; 80 835 316 ; 
262 862 147 ; 396 579 374 ; 457 825 76 ; 369 192 315 ; 304 187 108 ; 
223 972 318 ; 840 828 23 ; 523 834 80 ; 560 871 29 ; 371 787 389 ; 
210 266 173 ; 789 37 299 ; 591 685 219 ; 783 960 177 ; 970 4 478 ; 
919 946 2 ; 723 117 57 ; 533 526 230 ; 380 635 133 ; 143 348 149 ; 
409 142 421 ; 446 197 255 ; 107 649 188 ; 43 534 427 ; 48 788 55 ; 
994 322 113 ; 88 79 16 ; 614 677 163 ; 225 775 352 ; 574 408 16 ; 
716 413 323 ; 913 628 421 ; 538 609 35 ; 48 156 95 ; 836 487 266 ; 
134 765 306 ; 214 937 385 ; 891 809 173 ; 642 189 455 ; 27 974 260 ; 
440 877 478 ; 45 166 486 ; 654 926 232 ; 810 769 286 ; 274 655 327 ; 
15 590 331 ; 952 495 302 ; 737 488 148 ; 927 71 247 ; 877 903 86 ; 
730 262 165 ; 897 336 405 ; 799 300 62 ; 544 803 176 ; 175 330 175 ; 
765 693 113 ; 236 167 456 ; 724 879 220 ; 795 435 70 ; 675 633 61 ; 
937 858 358 ; 249 499 136 ; 550 186 317 ; 329 526 140 ; 659 653 348 ; 
328 30 208 ; 496 446 229 ; 351 791 446 ; 786 849 382 ; 395 810 494 ; 
229 624 245 ; 729 144 262 ; 915 562 235 ; 417 754 397 ; 47 467 34 ; 
77 355 177 ; 524 1008 306 ; 291 874 74 ; 116 441 481 ; 926 803 72 ; 
526 816 487 ; 670 742 393 ; 208 917 194 ; 963 619 157 ; 406 649 458 ; 
761 315 421 ; 745 309 215 ; 596 799 295 ; 13 616 382 ; 816 196 46 ; 
608 172 200 ; 326 377 350 ; 219 287 336 ; 838 88 125 ; 464 306 60 ; 
