39 15 308 ; 2 10 184 ; 42 8 387 ; 6 31 462 ; 18 9 196 ; 
24 0 13 ; 26 29 338 ; 42 7 182 ; 34 21 259 ; 63 62 181 ; 
15 43 419 ; 25 3 78 ; 33 3 472 ; 1 17 118 ; 10 9 273 ; 
10 51 427 ; 39 33 395 ; 46 47 170 ; 3 6 52 ; 1 47 158 ; 
44 58 138 ; 48 45 325 ; 51 33 334 ; 4 0 72 ; 13 37 285 ; 
0 28 39 ; 33 44 77 ; 16 22 280 ; 22 42 46 ; 6 32 281 ; 
0 22 330 ; 45 27 3 ; 15 58 335 ; 15 58 214 ; 52 59 102 ; 
16 6 47 ; 60 27 64 ; 18 23 341 ; 60 1 62 ; 29 46 336 ; 
51 28 494 ; 15 55 307 ; 9 2 204 ; 3 0 11 ; 62 2 198 ; 
4 18 38 ; 31 34 459 ; 54 19 411 ; 55 21 214 ; 37 46 418 ; 
1 12 387 ; 57 43 55 ; 59 56 302 ; 60 19 111 ; 62 62 54 ; 
16 28 268 ; 50 11 144 ; 6 55 407 ; 27 53 189 ; 9 47 388 ; 
22 7 285 ; 1 18 210 ; 57 44 371 ; 13 15 251 ; 11 53 63 ; 
39 25 113 ; 51 1 246 ; 42 8 80 ; 31 5 254 ; 14 57 386 ; 
21 18 107 ; 39 44 117 ; 19 0 371 ; 34 15 128 ; 23 26 197 ; 
48 35 480 ; 49 61 164 ; 57 10 411 ; 62 28 133 ; 55 10 44 ; 
9 2 62 ; 54 15 280 ; 54 30 399 ; 5 39 427 ; 31 60 121 ; 
2 29 241 ; 0 37 53 ; 10 32 203 ; 38 5 448 ; 49 9 331 ; 
51 27 386 ; 2 3 104 ; 33 19 194 ; 8 54 28 ; 4 59 5 ; 
33 24 244 ; 6 38 154 ; 38 37 38 ; 43 29 476 ; 52 20 371 ; 
16 3 312 ; 19 59 55 ; 38 41 421 ; 28 13 134 ; 24 54 118 ; 
48 62 127 ; 22 8 436 ; 59 19 415 ; 25 39 473 ; 45 34 97 ; 
48 14 329 ; 43 45 85 ; 20 15 145 ; 33 17 259 ; 23 28 208 ; 
21 43 464 ; 30 27 268 ; 49 18 27 ; 24 48 90 ; 59 57 111 ; 
9 54 421 ; 55 4 405 ; 6 37 373 ; 23 44 17 ; 51 16 219 ; 
30 12 130 ; 58 57 200 ; 12 60 230 ; 60 58 463 ; 53 18 23 ; 
44 23 486 ; 48 12 312 ; 21 45 407 ; 1 35 397 ; 18 58 64 ; 
30 40 380 ; 23 44 322 ; 19 14 476 ; 14 33 109 ; 32 13 193 ; 
55 51 179 ; 3 35 395 ; 49 10 75 ; 20 55 216 ; 14 60 429 ; 
54 52 423 ; 35 10 14 ; 49 27 173 ; 19 56 77 ; 32 17 167 ; 
19 32 407 ; 55 27 218 ; 1 6 5 ; 57 6 494 ; 53 8 202 ; 
41 27 200 ; 51 13 119 ; 14 23 10 ; 6 52 103 ; 24 31 362 ; 
56 42 162 ; 20 44 490 ; 26 49 157 ; 33 40 70 ; 41 50 331 ; 
4 11 300 ; 18 26 61 ; 41 12 437 ; 29 47 51 ; 60 38 218 ; 
38 60 130 ; 18 38 318 ; 3 7 178 ; 43 42 137 ; 30 5 206 ; 
41 22 371 ; 3 15 203 ; 15 60 69 ; 62 56 290 ; 36 58 295 ; 
33 20 103 ; 7 38 269 ; 15 13 363 ; 57 14 243 ; 62 48 50 ; 
20 59 44 ; 36 10 221 ; 32 44 256 ; 24 54 307 ; 18 30 182 ; 
38 1 242 ; 13 11 299 ; 26 38 47 ; 40 5 290 ; 24 16 451 ; 
19 56 361 ; 29 10 174 ; 9 30 450 ; 0 2 478 ; 30 36 459 ; 
31 42 313 ; 42 18 320 ; 17 1 1 ; 22 63 387 ; 38 54 263 ; 
31 43 39 ; 41 53 234 ; 7 35 107 ; 9 50 25 ; 45 25 129 ; 
24 18 419 ; 42 50 294 ; 43 31 81 ; 42 38 290 ; 32 21 16 ; 
11 28 311 ; 1 54 422 ; 36 46 219 ; 22 47 310 ; 47 48 208 ; 
2 15 389 ; 52 13 153 ; 20 54 447 ; 58 48 318 ; 16 1 56 ; 
44 56 464 ; 35 14 52 ; 17 13 345 ; 0 19 497 ; 48 35 284 ; 
63 33 367 ; 12 54 209 ; 3 54 482 ; 51 32 38 ; 52 53 264 ; 
44 41 276 ; 58 41 113 ; 7 42 360 ; 27 16 273 ; 62 12 81 ; 
31 55 413 ; 22 37 188 ; 12 7 404 ; 44 61 143 ; 33 45 343 ; 
11 46 371 ; 52 27 244 ; 31 43 30 ; 47 12 302 ; 59 45 221 ; 
50 62 495 ; 23 14 367 ; 30 42 489 ; 27 10 161 ; 9 29 201 ; 
55 36 167 ; 18 24 22 ; 61 7 170 ; 9 61 457 ; 54 14 232 ; 
52 29 279 ; 2 12 318 ; 44 17 205 ; 54 34 424 ; 19 32 363 ; 
56 63 288 ; 16 41 179 ; 23 7 149 ; 20 5 58 ; 34 49 31 ; 
0 25 353 ; 12 51 85 ; 30 36 119 ; 0 52 212 ; 32 32 302 ; 
